config_key,config_rank,blend_time,recovery_time,isolation_tau,Q_scale,R_scale,scenario,itae,u_jump,u_peak_rate
b0.2_r0.5_i0.1_q0.1_R0.1_a,1,0.2,0.5,0.1,0.1,0.1,bias_small,29.9206609816697,NaN,862.489879808487
b0.2_r0.5_i0.1_q0.1_R0.1_a,1,0.2,0.5,0.1,0.1,0.1,bias_large,149.074650342856,NaN,4312.44939976378
b0.2_r0.5_i0.1_q0.1_R0.1_a,1,0.2,0.5,0.1,0.1,0.1,ramp,177.453994942372,NaN,829.33522710973
b0.2_r0.5_i0.1_q0.1_R0.1_a,1,0.2,0.5,0.1,0.1,0.1,sine,6.9385492017886,NaN,829.33522710973
b0.2_r0.5_i0.1_q0.1_R0.5_a,2,0.2,0.5,0.1,0.1,0.5,bias_small,29.9206609816697,NaN,862.489879808487
b0.2_r0.5_i0.1_q0.1_R0.5_a,2,0.2,0.5,0.1,0.1,0.5,bias_large,149.074650342856,NaN,4312.44939976378
b0.2_r0.5_i0.1_q0.1_R0.5_a,2,0.2,0.5,0.1,0.1,0.5,ramp,177.453994942372,NaN,829.33522710973
b0.2_r0.5_i0.1_q0.1_R0.5_a,2,0.2,0.5,0.1,0.1,0.5,sine,6.9385492017886,NaN,829.33522710973
b0.2_r0.5_i0.1_q0.1_R1_a,3,0.2,0.5,0.1,0.1,1,bias_small,29.9206609816697,NaN,862.489879808487
b0.2_r0.5_i0.1_q0.1_R1_a,3,0.2,0.5,0.1,0.1,1,bias_large,149.074650342856,NaN,4312.44939976378
b0.2_r0.5_i0.1_q0.1_R1_a,3,0.2,0.5,0.1,0.1,1,ramp,177.453994942372,NaN,829.33522710973
b0.2_r0.5_i0.1_q0.1_R1_a,3,0.2,0.5,0.1,0.1,1,sine,6.9385492017886,NaN,829.33522710973
